value (regional),value (global),Number of Records,Value,Country,Indicator short code,Iso3Code,Region,Year
13.91875,21.937583893,1,15.6,Algeria,tobacco,DZA,Africa,2016
13.91875,21.937583893,1,6.5,Benin,tobacco,BEN,Africa,2016
13.91875,21.937583893,1,20.1,Botswana,tobacco,BWA,Africa,2016
13.91875,21.937583893,1,12.8,Burkina Faso,tobacco,BFA,Africa,2016
13.91875,21.937583893,1,9.3,Cabo Verde,tobacco,CPV,Africa,2016
13.91875,21.937583893,1,14,Comoros,tobacco,COM,Africa,2016
13.91875,21.937583893,1,27,Congo,tobacco,COG,Africa,2016
13.91875,21.937583893,1,5.8,Eritrea,tobacco,ERI,Africa,2016
13.91875,21.937583893,1,4.5,Ethiopia,tobacco,ETH,Africa,2016
13.91875,21.937583893,1,16,Gambia,tobacco,GMB,Africa,2016
13.91875,21.937583893,1,4,Ghana,tobacco,GHA,Africa,2016
13.91875,21.937583893,1,10.8,Kenya,tobacco,KEN,Africa,2016
13.91875,21.937583893,1,27.2,Lesotho,tobacco,LSO,Africa,2016
13.91875,21.937583893,1,9.8,Liberia,tobacco,LBR,Africa,2016
13.91875,21.937583893,1,14.6,Malawi,tobacco,MWI,Africa,2016
13.91875,21.937583893,1,12.3,Mali,tobacco,MLI,Africa,2016
13.91875,21.937583893,1,22,Mauritius,tobacco,MUS,Africa,2016
13.91875,21.937583893,1,17.1,Mozambique,tobacco,MOZ,Africa,2016
13.91875,21.937583893,1,22,Namibia,tobacco,NAM,Africa,2016
13.91875,21.937583893,1,7.8,Niger,tobacco,NER,Africa,2016
13.91875,21.937583893,1,5.7,Nigeria,tobacco,NGA,Africa,2016
13.91875,21.937583893,1,12.9,Rwanda,tobacco,RWA,Africa,2016
13.91875,21.937583893,1,8.5,Senegal,tobacco,SEN,Africa,2016
13.91875,21.937583893,1,21.4,Seychelles,tobacco,SYC,Africa,2016
13.91875,21.937583893,1,25.1,Sierra Leone,tobacco,SLE,Africa,2016
13.91875,21.937583893,1,20.7,South Africa,tobacco,ZAF,Africa,2016
13.91875,21.937583893,1,9.1,Swaziland,tobacco,SWZ,Africa,2016
13.91875,21.937583893,1,7.6,Togo,tobacco,TGO,Africa,2016
13.91875,21.937583893,1,10.1,Uganda,tobacco,UGA,Africa,2016
13.91875,21.937583893,1,15,United Republic of Tanzania,tobacco,TZA,Africa,2016
13.91875,21.937583893,1,13.9,Zambia,tobacco,ZMB,Africa,2016
13.91875,21.937583893,1,16.2,Zimbabwe,tobacco,ZWE,Africa,2016
16.854545455,21.937583893,1,22,Argentina,tobacco,ARG,Americas,2016
16.854545455,21.937583893,1,11.8,Bahamas,tobacco,BHS,Americas,2016
16.854545455,21.937583893,1,8.2,Barbados,tobacco,BRB,Americas,2016
16.854545455,21.937583893,1,38.9,Bolivia (Plurinational State of),tobacco,BOL,Americas,2016
16.854545455,21.937583893,1,14,Brazil,tobacco,BRA,Americas,2016
16.854545455,21.937583893,1,14.3,Canada,tobacco,CAN,Americas,2016
16.854545455,21.937583893,1,37.9,Chile,tobacco,CHL,Americas,2016
16.854545455,21.937583893,1,9.1,Colombia,tobacco,COL,Americas,2016
16.854545455,21.937583893,1,11.9,Costa Rica,tobacco,CRI,Americas,2016
16.854545455,21.937583893,1,35.2,Cuba,tobacco,CUB,Americas,2016
16.854545455,21.937583893,1,13.8,Dominican Republic,tobacco,DOM,Americas,2016
16.854545455,21.937583893,1,7.2,Ecuador,tobacco,ECU,Americas,2016
16.854545455,21.937583893,1,10.7,El Salvador,tobacco,SLV,Americas,2016
16.854545455,21.937583893,1,13,Haiti,tobacco,HTI,Americas,2016
16.854545455,21.937583893,1,17,Jamaica,tobacco,JAM,Americas,2016
16.854545455,21.937583893,1,14.2,Mexico,tobacco,MEX,Americas,2016
16.854545455,21.937583893,1,6.2,Panama,tobacco,PAN,Americas,2016
16.854545455,21.937583893,1,13.3,Paraguay,tobacco,PRY,Americas,2016
16.854545455,21.937583893,1,8,Saint Kitts and Nevis,tobacco,KNA,Americas,2016
16.854545455,21.937583893,1,25.2,Suriname,tobacco,SUR,Americas,2016
16.854545455,21.937583893,1,21.9,United States of America,tobacco,USA,Americas,2016
16.854545455,21.937583893,1,17,Uruguay,tobacco,URY,Americas,2016
19.82,21.937583893,1,21.7,Bahrain,tobacco,BHR,Eastern Mediterranean,2016
19.82,21.937583893,1,13.1,Djibouti,tobacco,DJI,Eastern Mediterranean,2016
19.82,21.937583893,1,25.2,Egypt,tobacco,EGY,Eastern Mediterranean,2016
19.82,21.937583893,1,11,Iran (Islamic Republic of),tobacco,IRN,Eastern Mediterranean,2016
19.82,21.937583893,1,22,Iraq,tobacco,IRQ,Eastern Mediterranean,2016
19.82,21.937583893,1,19.9,Kuwait,tobacco,KWT,Eastern Mediterranean,2016
19.82,21.937583893,1,33.8,Lebanon,tobacco,LBN,Eastern Mediterranean,2016
19.82,21.937583893,1,24,Morocco,tobacco,MAR,Eastern Mediterranean,2016
19.82,21.937583893,1,8.1,Oman,tobacco,OMN,Eastern Mediterranean,2016
19.82,21.937583893,1,19.8,Pakistan,tobacco,PAK,Eastern Mediterranean,2016
19.82,21.937583893,1,13.9,Qatar,tobacco,QAT,Eastern Mediterranean,2016
19.82,21.937583893,1,13.6,Saudi Arabia,tobacco,SAU,Eastern Mediterranean,2016
19.82,21.937583893,1,33.5,Tunisia,tobacco,TUN,Eastern Mediterranean,2016
19.82,21.937583893,1,19.3,United Arab Emirates,tobacco,ARE,Eastern Mediterranean,2016
19.82,21.937583893,1,18.4,Yemen,tobacco,YEM,Eastern Mediterranean,2016
28.710416667,21.937583893,1,29.2,Albania,tobacco,ALB,Europe,2016
28.710416667,21.937583893,1,33.4,Andorra,tobacco,AND,Europe,2016
28.710416667,21.937583893,1,26.8,Armenia,tobacco,ARM,Europe,2016
28.710416667,21.937583893,1,29.7,Austria,tobacco,AUT,Europe,2016
28.710416667,21.937583893,1,21.4,Azerbaijan,tobacco,AZE,Europe,2016
28.710416667,21.937583893,1,28.3,Belarus,tobacco,BLR,Europe,2016
28.710416667,21.937583893,1,28.3,Belgium,tobacco,BEL,Europe,2016
28.710416667,21.937583893,1,39,Bosnia and Herzegovina,tobacco,BIH,Europe,2016
28.710416667,21.937583893,1,37.3,Bulgaria,tobacco,BGR,Europe,2016
28.710416667,21.937583893,1,37.1,Croatia,tobacco,HRV,Europe,2016
28.710416667,21.937583893,1,36.2,Cyprus,tobacco,CYP,Europe,2016
28.710416667,21.937583893,1,34.4,Czechia,tobacco,CZE,Europe,2016
28.710416667,21.937583893,1,19.1,Denmark,tobacco,DNK,Europe,2016
28.710416667,21.937583893,1,31.9,Estonia,tobacco,EST,Europe,2016
28.710416667,21.937583893,1,20.5,Finland,tobacco,FIN,Europe,2016
28.710416667,21.937583893,1,32.9,France,tobacco,FRA,Europe,2016
28.710416667,21.937583893,1,30.4,Georgia,tobacco,GEO,Europe,2016
28.710416667,21.937583893,1,30.7,Germany,tobacco,DEU,Europe,2016
28.710416667,21.937583893,1,43.7,Greece,tobacco,GRC,Europe,2016
28.710416667,21.937583893,1,30.8,Hungary,tobacco,HUN,Europe,2016
28.710416667,21.937583893,1,14.8,Iceland,tobacco,ISL,Europe,2016
28.710416667,21.937583893,1,24.4,Ireland,tobacco,IRL,Europe,2016
28.710416667,21.937583893,1,25.4,Israel,tobacco,ISR,Europe,2016
28.710416667,21.937583893,1,23.8,Italy,tobacco,ITA,Europe,2016
28.710416667,21.937583893,1,25.1,Kazakhstan,tobacco,KAZ,Europe,2016
28.710416667,21.937583893,1,27.1,Kyrgyzstan,tobacco,KGZ,Europe,2016
28.710416667,21.937583893,1,38.3,Latvia,tobacco,LVA,Europe,2016
28.710416667,21.937583893,1,29.7,Lithuania,tobacco,LTU,Europe,2016
28.710416667,21.937583893,1,23.5,Luxembourg,tobacco,LUX,Europe,2016
28.710416667,21.937583893,1,25.6,Malta,tobacco,MLT,Europe,2016
28.710416667,21.937583893,1,46,Montenegro,tobacco,MNE,Europe,2016
28.710416667,21.937583893,1,25.9,Netherlands,tobacco,NLD,Europe,2016
28.710416667,21.937583893,1,20.2,Norway,tobacco,NOR,Europe,2016
28.710416667,21.937583893,1,28.2,Poland,tobacco,POL,Europe,2016
28.710416667,21.937583893,1,23.2,Portugal,tobacco,PRT,Europe,2016
28.710416667,21.937583893,1,25.3,Republic of Moldova,tobacco,MDA,Europe,2016
28.710416667,21.937583893,1,30,Romania,tobacco,ROU,Europe,2016
28.710416667,21.937583893,1,40.9,Russian Federation,tobacco,RUS,Europe,2016
28.710416667,21.937583893,1,39,Serbia,tobacco,SRB,Europe,2016
28.710416667,21.937583893,1,30.4,Slovakia,tobacco,SVK,Europe,2016
28.710416667,21.937583893,1,22.6,Slovenia,tobacco,SVN,Europe,2016
28.710416667,21.937583893,1,29.4,Spain,tobacco,ESP,Europe,2016
28.710416667,21.937583893,1,18.9,Sweden,tobacco,SWE,Europe,2016
28.710416667,21.937583893,1,25.8,Switzerland,tobacco,CHE,Europe,2016
28.710416667,21.937583893,1,27.6,Turkey,tobacco,TUR,Europe,2016
28.710416667,21.937583893,1,30.5,Ukraine,tobacco,UKR,Europe,2016
28.710416667,21.937583893,1,22.4,United Kingdom,tobacco,GBR,Europe,2016
28.710416667,21.937583893,1,13,Uzbekistan,tobacco,UZB,Europe,2016
24.788888889,21.937583893,1,22.9,Bangladesh,tobacco,BGD,South-East Asia,2016
24.788888889,21.937583893,1,11.3,India,tobacco,IND,South-East Asia,2016
24.788888889,21.937583893,1,39.5,Indonesia,tobacco,IDN,South-East Asia,2016
24.788888889,21.937583893,1,28.6,Maldives,tobacco,MDV,South-East Asia,2016
24.788888889,21.937583893,1,20.8,Myanmar,tobacco,MMR,South-East Asia,2016
24.788888889,21.937583893,1,23.7,Nepal,tobacco,NPL,South-East Asia,2016
24.788888889,21.937583893,1,13.7,Sri Lanka,tobacco,LKA,South-East Asia,2016
24.788888889,21.937583893,1,20.4,Thailand,tobacco,THA,South-East Asia,2016
24.788888889,21.937583893,1,42.2,Timor-Leste,tobacco,TLS,South-East Asia,2016
24.086956522,21.937583893,1,14.8,Australia,tobacco,AUS,Western Pacific,2016
24.086956522,21.937583893,1,16.5,Brunei Darussalam,tobacco,BRN,Western Pacific,2016
24.086956522,21.937583893,1,17.9,Cambodia,tobacco,KHM,Western Pacific,2016
24.086956522,21.937583893,1,25.2,China,tobacco,CHN,Western Pacific,2016
24.086956522,21.937583893,1,25.5,Cook Islands,tobacco,COK,Western Pacific,2016
24.086956522,21.937583893,1,22.5,Fiji,tobacco,FJI,Western Pacific,2016
24.086956522,21.937583893,1,22.5,Japan,tobacco,JPN,Western Pacific,2016
24.086956522,21.937583893,1,47.4,Kiribati,tobacco,KIR,Western Pacific,2016
24.086956522,21.937583893,1,29.3,Lao People's Democratic Republic,tobacco,LAO,Western Pacific,2016
24.086956522,21.937583893,1,21.7,Malaysia,tobacco,MYS,Western Pacific,2016
24.086956522,21.937583893,1,26,Mongolia,tobacco,MNG,Western Pacific,2016
24.086956522,21.937583893,1,40,Nauru,tobacco,NRU,Western Pacific,2016
24.086956522,21.937583893,1,16,New Zealand,tobacco,NZL,Western Pacific,2016
24.086956522,21.937583893,1,14.9,Niue,tobacco,NIU,Western Pacific,2016
24.086956522,21.937583893,1,15.2,Palau,tobacco,PLW,Western Pacific,2016
24.086956522,21.937583893,1,36.2,Papua New Guinea,tobacco,PNG,Western Pacific,2016
24.086956522,21.937583893,1,24.3,Philippines,tobacco,PHL,Western Pacific,2016
24.086956522,21.937583893,1,23.6,Republic of Korea,tobacco,KOR,Western Pacific,2016
24.086956522,21.937583893,1,27.4,Samoa,tobacco,WSM,Western Pacific,2016
24.086956522,21.937583893,1,16.8,Singapore,tobacco,SGP,Western Pacific,2016
24.086956522,21.937583893,1,28.1,Tonga,tobacco,TON,Western Pacific,2016
24.086956522,21.937583893,1,18.7,Vanuatu,tobacco,VUT,Western Pacific,2016
24.086956522,21.937583893,1,23.5,Viet Nam,tobacco,VNM,Western Pacific,2016
